name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Livramento,NEW,DEF,4.5,Available,1302,45,4,1.7,1.7
Longstaff,NEW,MID,5.0,Available,2742,110,3,3.1,0.9
Miley,NEW,MID,5.0,Injured,1203,44,1,2.6,0.0
Odysseas,NEW,GKP,4.5,Available,450,12,0,2.4,0.2
Pope,NEW,GKP,5.0,Available,1345,57,1,3.8,5.7
Ruddy,NEW,GKP,4.0,Available,0,0,0,0.0,0.2
Schär,NEW,DEF,5.5,Available,3055,123,12,3.4,7.6
Targett,NEW,DEF,4.0,Available,77,2,0,0.7,0.5
Tonali,NEW,MID,5.5,Suspended,437,16,0,2.0,0.1
Trippier,NEW,DEF,6.0,Available,2235,111,20,4.0,14.5
White,NEW,MID,4.5,Available,12,3,0,0.8,0.3
Willock,NEW,MID,5.0,Available,415,18,0,2.0,0.2
Wilson,NEW,FWD,7.0,Available,981,69,4,3.5,0.6
Pivas,NEW,DEF,4.0,Available,0,0,0,0.0,0.1
Aina,NFO,DEF,4.5,Available,1690,45,2,2.0,0.7
